iter	Passed	Remaining
749	11009	3669
750	11021	3654
751	11031	3638
752	11042	3622
753	11054	3606
754	11065	3590
755	11076	3575
756	11088	3559
757	11100	3543
758	11112	3528
759	11124	3512
760	11135	3497
761	11146	3481
762	11158	3466
763	11169	3450
764	11180	3434
765	11192	3419
766	11204	3403
767	11217	3388
768	11230	3373
769	11243	3358
770	11256	3343
771	11268	3327
772	11279	3312
773	11292	3297
774	11304	3281
775	11316	3266
776	11327	3250
777	11339	3235
778	11350	3220
779	11362	3204
780	11374	3189
781	11385	3173
782	11396	3158
783	11407	3143
784	11420	3127
785	11433	3112
786	11444	3097
787	11456	3082
788	11468	3066
789	11481	3051
790	11493	3036
791	11506	3021
792	11519	3006
793	11531	2991
794	11542	2976
795	11555	2961
796	11568	2946
797	11580	2931
798	11600	2918
799	11612	2903
800	11623	2887
801	11637	2873
802	11650	2858
803	11662	2843
804	11674	2827
805	11686	2812
806	11699	2798
807	11712	2783
808	11723	2767
809	11736	2753
810	11749	2738
811	11761	2723
812	11773	2707
813	11785	2692
814	11797	2678
815	11809	2663
816	11821	2647
817	11834	2633
818	11848	2618
819	11860	2603
820	11872	2588
821	11885	2573
822	11899	2559
823	11912	2544
824	11925	2529
825	11938	2514
826	11950	2500
827	11964	2485
828	11976	2470
829	11989	2455
830	12001	2440
831	12013	2425
832	12026	2411
833	12039	2396
834	12051	2381
835	12065	2366
836	12082	2352
837	12097	2338
838	12112	2324
839	12126	2309
840	12140	2295
841	12155	2280
842	12173	2267
843	12188	2252
844	12206	2239
845	12223	2225
846	12239	2210
847	12254	2196
848	12270	2182
849	12285	2167
850	12302	2153
851	12318	2139
852	12334	2125
853	12352	2111
854	12371	2098
855	12390	2084
856	12408	2070
857	12426	2056
858	12444	2042
859	12462	2028
860	12480	2014
861	12498	2000
862	12514	1986
863	12531	1972
864	12547	1958
865	12563	1943
866	12579	1929
867	12594	1915
868	12610	1901
869	12625	1886
870	12640	1872
871	12655	1857
872	12670	1843
873	12687	1829
874	12701	1814
875	12714	1799
876	12728	1785
877	12742	1770
878	12760	1756
879	12773	1741
880	12786	1727
881	12799	1712
882	12813	1697
883	12826	1683
884	12839	1668
885	12852	1653
886	12864	1638
887	12877	1624
888	12890	1609
889	12903	1594
890	12915	1580
891	12928	1565
892	12941	1550
893	12953	1535
894	12965	1521
895	12978	1506
896	12990	1491
897	13001	1476
898	13012	1461
899	13025	1447
900	13037	1432
901	13048	1417
902	13062	1403
903	13075	1388
904	13088	1373
905	13100	1359
906	13112	1344
907	13126	1329
908	13138	1315
909	13151	1300
910	13163	1285
911	13175	1271
912	13187	1256
913	13201	1242
914	13214	1227
915	13226	1212
916	13238	1198
917	13250	1183
918	13262	1168
919	13274	1154
